Team,Shot_Creating_Actions,Shot_Creating_Actions_Per90,SCA_Passes_LiveBall,SCA_Passes_DeadBall,SCA_TakeOns,SCA_Shots,SCA_Fouls_Drawn,SCA_Defensive_Actions,Goal_Creating_Actions,Goal_Creating_Actions_Per90,GCA_Passes_LiveBall,GCA_Passes_DeadBall,GCA_TakeOns,GCA_Shots,GCA_Fouls_Drawn,GCA_Defensive_Actions
vs Arsenal,154,12.83,114,14,10,5,6,5,11,0.92,8,1,0,0,1,1
vs Aston Villa,266,22.17,175,30,21,20,12,8,18,1.5,10,3,0,4,1,0
vs Bournemouth,240,20.0,177,18,14,18,8,5,35,2.92,21,3,3,5,3,0
vs Brentford,256,21.33,194,16,11,22,7,6,31,2.58,21,1,3,3,2,1
vs Brighton,236,19.67,161,23,18,11,15,8,25,2.08,17,1,2,2,2,1
vs Burnley,368,30.67,274,33,19,31,8,3,36,3.0,26,1,4,3,2,0
vs Chelsea,182,15.17,136,17,4,14,9,2,18,1.5,15,1,0,2,0,0
vs Crystal Palace,222,18.5,162,17,11,18,9,5,17,1.42,10,2,2,1,2,0
vs Everton,286,23.83,209,26,14,22,9,6,23,1.92,18,2,1,2,0,0
vs Fulham,212,17.67,151,23,9,13,11,5,21,1.75,13,2,1,4,1,0
vs Leeds United,234,19.5,174,14,20,11,13,2,41,3.42,31,2,3,1,4,0
vs Liverpool,242,20.17,171,19,14,17,17,4,36,3.0,27,1,2,2,3,1
vs Manchester City,184,15.33,138,10,9,15,4,8,17,1.42,12,1,1,2,0,1
vs Manchester Utd,227,18.92,156,27,16,16,7,5,32,2.67,19,2,4,5,1,1
vs Newcastle Utd,231,19.25,168,18,17,13,9,6,23,1.92,16,1,1,4,1,0
vs Nott'ham Forest,284,23.67,193,29,22,23,12,5,31,2.58,18,4,1,4,3,1
vs Sunderland,296,24.67,237,19,9,20,7,4,21,1.75,19,0,2,0,0,0
vs Tottenham,255,21.25,185,21,15,16,13,5,22,1.83,15,1,3,2,0,1
vs West Ham,334,27.83,253,28,12,27,11,3,42,3.5,30,4,2,5,1,0
vs Wolves,269,22.42,211,19,7,14,13,5,44,3.67,36,0,2,3,1,2
