Team,Passes_Attempted,Passes_LiveBall,Passes_DeadBall,Passes_FromFreeKicks,Passes_ThroughBalls,Passes_Switches,Passes_Crosses,Passes_ThrowIns,Passes_CornerKicks,Passes_IntoFinalThird,Passes_FromBack,Passes_Straight,Passes_Completed,Passes_Offside,Passes_Blocked
vs Arsenal,4592,4042,540,139,20,35,129,233,35,19,12,2,3526,10,92
vs Aston Villa,4964,4433,493,132,25,34,220,188,62,47,7,1,3976,38,108
vs Bournemouth,5204,4600,589,177,15,18,190,231,52,31,15,0,3963,15,116
vs Brentford,6397,5844,539,147,20,33,213,228,54,31,10,1,5204,14,108
vs Brighton,5679,5093,572,162,17,18,188,217,48,38,4,1,4551,14,107
vs Burnley,7194,6658,518,134,30,27,321,214,81,48,17,2,6011,18,125
vs Chelsea,4832,4252,564,150,22,18,174,240,46,26,9,0,3789,16,81
vs Crystal Palace,6436,5868,551,136,25,30,249,232,66,43,16,0,5235,17,113
vs Everton,6449,5867,561,135,29,26,213,253,65,44,13,0,5297,21,100
vs Fulham,5623,5040,557,170,27,35,202,210,61,44,5,2,4547,26,96
vs Leeds United,6064,5487,561,133,8,27,216,275,39,28,9,0,4924,16,94
vs Liverpool,4325,3737,572,133,19,16,189,216,62,38,11,2,3137,16,101
vs Manchester City,5207,4697,480,119,35,55,189,183,53,44,5,2,4182,30,78
vs Manchester Utd,5476,4893,561,130,21,31,232,233,57,33,17,0,4236,22,105
vs Newcastle Utd,5654,5077,557,145,23,29,204,225,64,44,9,1,4422,20,91
vs Nott'ham Forest,5731,5200,518,137,19,29,227,199,61,36,15,0,4600,13,101
vs Sunderland,6434,5888,533,131,16,18,269,238,55,39,7,0,5277,13,100
vs Tottenham,5091,4490,583,160,23,25,193,227,64,43,11,1,3982,18,113
vs West Ham,6417,5855,547,140,20,25,290,226,83,56,13,1,5251,15,97
vs Wolves,6032,5420,591,169,31,31,240,248,71,51,6,1,4875,21,101
