Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5
1,Arsenal,11,8,2,1,20,5,15,26,2.36,18.8,6.0,12.8,1.16,W W W W D
2,Manchester City,11,7,1,3,23,8,15,22,2.0,19.3,10.3,9.0,0.82,W W L W W
3,Chelsea,11,6,2,3,21,11,10,20,1.82,20.4,13.4,6.9,0.63,W W L W W
4,Sunderland,11,5,4,2,14,10,4,19,1.73,10.2,13.2,-2.9,-0.27,L W W D D
5,Tottenham,11,5,3,3,19,10,9,18,1.64,11.0,15.2,-4.2,-0.38,W L W L D
6,Aston Villa,11,5,3,3,13,10,3,18,1.64,9.1,14.5,-5.4,-0.49,W W W L W
7,Manchester Utd,11,5,3,3,19,18,1,18,1.64,18.2,16.4,1.8,0.17,W W W D D
8,Liverpool,11,6,0,5,18,17,1,18,1.64,17.7,13.9,3.8,0.35,L L L W L
9,Bournemouth,11,5,3,3,17,18,-1,18,1.64,13.2,14.9,-1.7,-0.16,W D W L L
10,Crystal Palace,11,4,5,2,14,9,5,17,1.55,19.0,12.6,6.4,0.58,L D L W D
11,Brighton,11,4,4,3,17,15,2,16,1.45,16.6,13.0,3.6,0.33,D W L W D
12,Brentford,11,5,1,5,17,17,0,16,1.45,16.3,13.3,3.0,0.27,L W W L W
13,Everton,11,4,3,4,12,13,-1,15,1.36,14.8,15.2,-0.4,-0.04,W L L D W
14,Newcastle Utd,11,3,3,5,11,14,-3,12,1.09,12.8,11.1,1.7,0.16,W L W L L
15,Fulham,11,3,2,6,12,16,-4,11,1.0,10.7,14.4,-3.7,-0.34,L L L W L
16,Leeds United,11,3,2,6,10,20,-10,11,1.0,12.7,14.6,-1.9,-0.17,L L W L L
17,Burnley,11,3,1,7,14,22,-8,10,0.91,8.2,23.4,-15.3,-1.39,L W W L L
18,West Ham,11,3,1,7,13,23,-10,10,0.91,12.3,16.3,-4.0,-0.37,L L L W W
19,Nott'ham Forest,11,2,3,6,10,20,-10,9,0.82,13.5,16.6,-3.1,-0.28,L L L D W
20,Wolves,11,0,2,9,7,25,-18,2,0.18,9.6,16.0,-6.4,-0.58,D L L L L
