Team,Shot_Creating_Actions_Per90,Goal_Creating_Actions_Per90
vs Arsenal,20.05,2.05
vs Aston Villa,21.76,2.39
vs Brentford,23.05,2.55
vs Brighton,21.68,2.03
vs Burnley,28.0,2.42
vs Chelsea,15.45,1.39
vs Crystal Palace,19.97,1.95
vs Everton,24.26,2.74
vs Leeds United,26.45,3.53
vs Leicester City,25.53,2.55
vs Liverpool,13.63,1.21
vs Manchester City,10.32,1.29
vs Manchester Utd,22.61,2.34
vs Newcastle Utd,24.63,2.79
vs Norwich City,28.71,3.63
vs Southampton,22.45,2.89
vs Tottenham,22.82,1.89
vs Watford,25.29,3.42
vs West Ham,25.61,2.26
vs Wolves,23.39,1.82
