Squad,Possession,Progressive_Passes_Received_Per90,Possession_Against,Progressive_Passes_Received_Per90_Against,Shots_Per_90,Shots_On_Target_Per_90,Sh/90_Against,SoT/90_Against,Shot_Creating_Actions_Per90,Goal_Creating_Actions_Per90,SCA90_Against,GCA90_Against
Arsenal,52.8,43.21,46.8,31.11,15.29,4.89,11.03,3.74,27.11,2.61,20.05,2.05
Aston Villa,46.5,34.03,53.5,39.45,12.13,4.18,12.39,3.79,22.03,2.45,21.76,2.39
Brentford,44.8,30.79,55.5,39.92,11.47,3.71,13.11,4.58,19.45,2.05,23.05,2.55
Brighton,54.4,40.24,45.3,32.89,12.68,3.71,12.42,3.76,22.89,1.89,21.68,2.03
Burnley,40.2,25.21,60.2,44.58,10.66,3.13,15.74,4.55,17.74,1.58,28.0,2.42
Chelsea,61.8,51.47,37.7,26.13,15.34,5.26,8.82,2.87,28.0,3.55,15.45,1.39
Crystal Palace,51.1,31.95,49.1,36.68,10.63,3.68,11.55,3.68,18.71,2.13,19.97,1.95
Everton,40.0,28.58,60.3,46.89,11.32,3.42,13.68,4.89,19.53,1.79,24.26,2.74
Leeds United,52.3,38.61,47.5,35.24,12.63,3.74,15.16,5.76,21.71,1.74,26.45,3.53
Leicester City,52.0,35.55,47.9,38.97,11.39,4.32,14.63,4.82,19.61,2.76,25.53,2.55
Liverpool,62.7,58.61,36.7,23.63,18.97,6.24,7.82,2.82,32.87,4.29,13.63,1.21
Manchester City,67.9,63.21,31.5,19.71,18.53,6.24,6.21,2.21,33.84,4.16,10.32,1.29
Manchester Utd,52.7,41.11,47.1,36.74,13.24,4.71,13.32,4.61,24.13,2.74,22.61,2.34
Newcastle Utd,40.4,23.97,60.1,44.97,11.74,3.74,13.79,4.18,19.95,1.84,24.63,2.79
Norwich City,42.9,26.79,57.5,46.21,9.74,2.74,16.29,5.58,16.76,0.92,28.71,3.63
Southampton,47.7,34.58,52.1,39.03,12.58,4.24,12.97,4.76,21.42,1.87,22.45,2.89
Tottenham,51.8,38.16,48.0,37.58,12.79,4.87,12.89,3.55,23.21,3.08,22.82,1.89
Watford,40.7,27.82,59.7,45.58,10.45,3.24,14.58,4.76,18.24,1.5,25.29,3.42
West Ham,47.9,37.82,52.2,40.05,11.66,3.74,14.26,4.21,20.26,2.68,25.61,2.26
Wolves,49.5,33.21,50.4,39.53,10.55,3.5,13.13,4.16,18.21,1.53,23.39,1.82
