Squad,Possession,Progressive_Passes_Received_Per90
vs Arsenal,40.1,23.71
vs Aston Villa,50.6,34.37
vs Bournemouth,59.9,52.0
vs Brentford,56.6,40.26
vs Brighton,39.5,26.63
vs Chelsea,41.0,31.26
vs Crystal Palace,53.9,41.61
vs Everton,57.4,43.95
vs Fulham,51.3,36.58
vs Leeds United,53.1,38.29
vs Leicester City,52.4,41.05
vs Liverpool,38.9,28.68
vs Manchester City,34.7,22.45
vs Manchester Utd,46.0,35.34
vs Newcastle Utd,47.6,31.26
vs Nott'ham Forest,62.8,49.47
vs Southampton,55.6,45.18
vs Tottenham,50.1,39.39
vs West Ham,58.2,44.97
vs Wolves,49.8,41.45
