Squad,Shots_Per_90,Shots_On_Target_Per_90
vs Arsenal,8.87,3.5
vs Aston Villa,11.16,3.82
vs Bournemouth,16.29,5.21
vs Brentford,14.66,5.13
vs Brighton,10.0,3.24
vs Chelsea,11.5,4.16
vs Crystal Palace,11.89,4.11
vs Everton,15.0,4.71
vs Fulham,13.08,4.95
vs Leeds United,13.74,4.74
vs Leicester City,14.92,4.55
vs Liverpool,9.63,4.05
vs Manchester City,7.66,2.34
vs Manchester Utd,12.58,3.66
vs Newcastle Utd,10.05,3.24
vs Nott'ham Forest,14.42,4.58
vs Southampton,13.76,3.87
vs Tottenham,13.58,4.42
vs West Ham,12.97,4.34
vs Wolves,14.5,4.47
