Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Possession,Progressive_Passes_Received_Per90,Possession_Against,Progressive_Passes_Received_Per90_Against,Shots_Per_90,Shots_On_Target_Per_90,Sh/90_Against,SoT/90_Against,Shot_Creating_Actions_Per90,Goal_Creating_Actions_Per90,SCA90_Against,GCA90_Against
1,Liverpool,38,25,9,4,86,41,45,84,2.21,82.2,38.6,43.6,1.15,57.7,50.26,42.3,28.26,16.82,5.66,10.13,3.58,30.29,3.87,17.34,1.74
2,Arsenal,38,20,14,4,69,34,35,74,1.95,59.9,34.4,25.5,0.67,56.9,47.39,43.1,24.39,14.32,4.68,9.45,3.08,25.5,3.13,17.0,1.61
3,Manchester City,38,21,8,9,72,44,28,71,1.87,68.1,47.7,20.4,0.54,61.3,50.53,38.7,23.79,15.87,5.47,9.24,3.26,28.84,3.29,16.47,2.0
4,Chelsea,38,20,9,9,64,43,21,69,1.82,67.8,47.3,20.5,0.54,57.1,41.47,42.9,31.32,15.53,5.34,10.32,3.92,27.92,2.87,18.37,1.92
5,Newcastle Utd,38,20,6,12,68,47,21,66,1.74,63.8,45.5,18.3,0.48,51.3,41.66,48.7,33.16,13.66,4.29,12.39,4.18,24.68,3.03,21.89,2.08
6,Aston Villa,38,19,9,10,58,51,7,66,1.74,56.1,50.1,5.9,0.16,50.5,35.03,49.5,34.0,12.58,4.18,12.11,4.03,22.34,2.68,21.53,2.26
7,Nott'ham Forest,38,19,8,11,58,46,12,65,1.71,45.5,48.9,-3.4,-0.09,41.2,29.39,58.8,49.16,12.11,4.26,13.89,4.26,21.0,2.39,24.76,2.11
8,Brighton,38,16,13,9,66,59,7,61,1.61,58.7,54.6,4.1,0.11,52.3,40.05,47.7,31.47,13.84,4.82,11.0,3.63,24.55,2.97,19.63,2.55
9,Bournemouth,38,15,11,12,58,46,12,56,1.47,64.0,48.5,15.5,0.41,48.5,38.79,51.5,33.68,15.11,5.05,12.71,4.42,26.63,2.45,23.11,2.21
10,Brentford,38,16,8,14,66,57,9,56,1.47,59.0,55.4,3.6,0.09,47.9,35.24,52.1,40.71,11.42,4.55,17.0,5.42,20.53,2.97,30.32,2.53
11,Fulham,38,15,9,14,54,54,0,54,1.42,49.0,47.2,1.8,0.05,52.3,40.63,47.7,36.42,13.58,4.39,11.29,4.08,24.74,2.61,19.89,2.37
12,Crystal Palace,38,13,14,11,51,51,0,53,1.39,60.4,49.1,11.3,0.3,42.8,30.0,57.2,41.21,13.47,4.61,12.66,3.89,23.08,2.34,22.37,2.21
13,Everton,38,11,15,12,42,44,-2,48,1.26,41.8,46.2,-4.5,-0.12,40.9,26.92,59.1,42.53,10.63,3.66,12.58,4.24,18.76,1.79,22.26,1.95
14,West Ham,38,11,10,17,46,62,-16,43,1.13,47.0,59.7,-12.7,-0.33,48.4,31.95,51.6,42.37,12.45,3.61,15.26,4.82,21.45,1.76,27.39,2.61
15,Manchester Utd,38,11,9,18,44,54,-10,42,1.11,52.6,53.8,-1.3,-0.03,53.5,37.71,46.5,30.84,13.79,4.42,10.82,3.82,24.71,1.84,18.79,2.26
16,Wolves,38,12,6,20,54,69,-15,42,1.11,43.7,58.1,-14.5,-0.38,48.1,31.03,51.9,40.05,11.34,4.08,12.21,4.18,19.89,2.53,21.89,3.08
17,Tottenham,38,11,5,22,64,65,-1,38,1.0,58.8,63.3,-4.5,-0.12,54.7,41.63,45.3,34.63,12.97,4.66,13.66,4.66,23.03,2.79,23.76,2.89
18,Leicester City,38,6,7,25,33,80,-47,25,0.66,32.6,71.9,-39.3,-1.03,45.4,28.21,54.6,45.68,8.74,2.76,16.82,5.39,15.39,1.47,29.89,3.53
19,Ipswich Town,38,4,10,24,36,82,-46,22,0.58,34.4,72.7,-38.3,-1.01,40.6,24.21,59.4,44.82,9.84,3.16,15.82,5.37,17.32,1.53,28.42,3.74
20,Southampton,38,2,6,30,26,86,-60,12,0.32,32.7,84.8,-52.1,-1.37,48.5,29.42,51.5,43.03,8.97,2.79,17.68,6.21,16.21,1.11,31.76,3.79
