Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5
1,Arsenal,13,9,3,1,25,7,18,30,2.31,21.8,6.9,14.9,1.15,W W D W D
2,Manchester City,14,9,1,4,32,16,16,28,2.0,26.4,15.1,11.4,0.81,W W L W W
3,Chelsea,13,7,3,3,24,12,12,24,1.85,22.9,14.9,8.0,0.61,L W W W D
4,Aston Villa,13,7,3,3,16,11,5,24,1.85,11.6,16.6,-5.0,-0.38,W L W W W
5,Brighton,13,6,4,3,21,16,5,22,1.69,19.7,15.9,3.8,0.3,L W D W W
6,Sunderland,13,6,4,3,17,13,4,22,1.69,11.9,17.0,-5.1,-0.39,W D D L W
7,Manchester Utd,13,6,3,4,21,20,1,21,1.62,21.1,18.4,2.7,0.21,W D D L W
8,Liverpool,13,7,0,6,20,20,0,21,1.62,20.8,15.8,5.0,0.39,L W L L W
9,Everton,14,6,3,5,15,17,-2,21,1.5,17.3,19.2,-1.9,-0.14,D W W L W
10,Crystal Palace,13,5,5,3,17,11,6,20,1.54,22.1,15.6,6.5,0.5,L W D W L
11,Tottenham,14,5,4,5,23,18,5,19,1.36,12.7,19.4,-6.7,-0.48,L D L L D
12,Brentford,13,6,1,6,21,20,1,19,1.46,21.2,15.5,5.8,0.44,W L W L W
13,Newcastle Utd,14,5,4,5,19,18,1,19,1.36,18.8,15.3,3.4,0.24,L L W W D
14,Bournemouth,14,5,4,5,21,24,-3,19,1.36,19.4,18.4,1.0,0.07,L L D L L
15,Fulham,14,5,2,7,19,22,-3,17,1.21,14.1,17.5,-3.3,-0.24,W L W W L
16,Nott'ham Forest,13,3,3,7,13,22,-9,12,0.92,16.0,20.4,-4.4,-0.34,L D W W L
17,West Ham,13,3,2,8,15,27,-12,11,0.85,13.3,21.5,-8.2,-0.63,L W W D L
18,Leeds United,13,3,2,8,13,25,-12,11,0.85,15.9,18.8,-2.9,-0.22,W L L L L
19,Burnley,13,3,1,9,15,27,-12,10,0.77,9.5,28.1,-18.6,-1.43,W L L L L
20,Wolves,13,0,2,11,7,28,-21,2,0.15,11.8,18.2,-6.4,-0.49,L L L L L
