Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Possession,Progressive_Passes_Received_Per90,Possession_Against,Progressive_Passes_Received_Per90_Against,Shots_Per_90,Shots_On_Target_Per_90,Sh/90_Against,SoT/90_Against,Shot_Creating_Actions_Per90,Goal_Creating_Actions_Per90,SCA90_Against,GCA90_Against
1,Arsenal,13,9,3,1,25,7,18,30,2.31,21.8,6.9,14.9,1.15,W W D W D,58.5,43.23,41.5,22.85,14.23,4.69,7.31,2.08,24.54,3.54,13.23,1.0
2,Manchester City,14,9,1,4,32,16,16,28,2.0,26.4,15.1,11.4,0.81,W W L W W,56.6,38.93,43.4,28.0,14.07,5.07,9.21,3.14,25.36,3.71,15.5,1.71
3,Chelsea,13,7,3,3,24,12,12,24,1.85,22.9,14.9,8.0,0.61,L W W W D,57.4,39.08,42.6,30.85,14.08,5.31,9.23,2.69,24.46,3.46,15.23,1.54
4,Aston Villa,13,7,3,3,16,11,5,24,1.85,11.6,16.6,-5.0,-0.38,W L W W W,53.5,36.23,46.5,31.46,11.46,3.69,12.15,3.0,20.38,2.23,21.69,1.38
5,Brighton,13,6,4,3,21,16,5,22,1.69,19.7,15.9,3.8,0.3,L W D W W,49.9,33.85,50.1,34.77,12.38,4.38,11.0,3.23,21.38,2.54,20.54,1.92
6,Sunderland,13,6,4,3,17,13,4,22,1.69,11.9,17.0,-5.1,-0.39,W D D L W,43.2,29.62,56.8,44.15,9.62,2.77,14.38,4.46,17.08,2.23,25.23,1.69
7,Manchester Utd,13,6,3,4,21,20,1,21,1.62,21.1,18.4,2.7,0.21,W D D L W,52.3,40.31,47.7,32.08,14.92,5.0,11.0,3.69,26.85,2.62,19.08,2.62
8,Liverpool,13,7,0,6,20,20,0,21,1.62,20.8,15.8,5.0,0.39,L W L L W,61.2,52.46,38.8,25.92,14.77,4.08,11.08,3.69,26.54,2.69,19.54,2.77
9,Everton,14,6,3,5,15,17,-2,21,1.5,17.3,19.2,-1.9,-0.14,D W W L W,44.4,32.93,55.6,41.86,10.5,2.86,13.21,3.93,18.93,1.86,22.79,2.14
10,Crystal Palace,13,5,5,3,17,11,6,20,1.54,22.1,15.6,6.5,0.5,L W D W L,42.9,30.31,57.1,38.92,12.0,3.92,10.85,3.08,20.54,2.15,19.08,1.62
11,Tottenham,14,5,4,5,23,18,5,19,1.36,12.7,19.4,-6.7,-0.48,L D L L D,53.1,35.14,46.9,32.71,9.43,3.07,12.14,4.29,16.5,2.64,21.43,2.14
12,Brentford,13,6,1,6,21,20,1,19,1.46,21.2,15.5,5.8,0.44,W L W L W,43.5,25.69,56.5,37.15,10.31,3.77,11.62,3.31,18.08,2.62,20.46,2.54
13,Newcastle Utd,14,5,4,5,19,18,1,19,1.36,18.8,15.3,3.4,0.24,L L W W D,50.0,44.14,50.0,36.79,12.14,4.0,10.79,4.07,21.86,2.29,18.86,2.0
14,Bournemouth,14,5,4,5,21,24,-3,19,1.36,19.4,18.4,1.0,0.07,L L D L L,53.2,39.21,46.8,30.0,12.86,4.57,11.29,4.43,23.21,2.5,20.07,3.0
15,Fulham,14,5,2,7,19,22,-3,17,1.21,14.1,17.5,-3.3,-0.24,W L W W L,50.4,35.0,49.6,38.79,11.71,3.36,10.71,3.79,20.07,1.64,18.36,2.0
16,Nott'ham Forest,13,3,3,7,13,22,-9,12,0.92,16.0,20.4,-4.4,-0.34,L D W W L,50.5,43.15,49.5,38.77,12.62,4.0,13.85,4.77,22.23,1.77,24.0,2.54
17,West Ham,13,3,2,8,15,27,-12,11,0.85,13.3,21.5,-8.2,-0.63,L W W D L,44.2,29.08,55.9,44.46,9.69,3.46,15.08,5.31,16.62,1.54,26.92,3.54
18,Leeds United,13,3,2,8,13,25,-12,11,0.85,15.9,18.8,-2.9,-0.22,W L L L L,47.5,29.85,52.5,37.77,11.77,3.31,11.23,4.15,19.46,1.46,20.62,3.54
19,Burnley,13,3,1,9,15,27,-12,10,0.77,9.5,28.1,-18.6,-1.43,W L L L L,40.0,22.54,60.0,43.23,7.92,2.92,16.69,5.31,14.08,2.0,30.15,3.23
20,Wolves,13,0,2,11,7,28,-21,2,0.15,11.8,18.2,-6.4,-0.49,L L L L L,47.3,29.23,52.7,40.77,9.31,3.0,13.23,4.77,16.92,0.85,23.0,3.54
