Squad,possession_stats_for_2020-2021_Possession,possession_stats_for_2020-2021_Progressive_Passes_Received_Per90,possession_stats_for_2021-2022_Possession,possession_stats_for_2021-2022_Progressive_Passes_Received_Per90,possession_stats_for_2022-2023_Possession,possession_stats_for_2022-2023_Progressive_Passes_Received_Per90,possession_stats_for_2023-2024_Possession,possession_stats_for_2023-2024_Progressive_Passes_Received_Per90,possession_stats_for_2024-2025_Possession,possession_stats_for_2024-2025_Progressive_Passes_Received_Per90,possession_stats_for_2025-2026_Possession,possession_stats_for_2025-2026_Progressive_Passes_Received_Per90
Arsenal,53.5,46.0,52.8,43.21,59.3,53.26,58.2,54.95,56.9,47.39,58.3,43.08
Aston Villa,48.5,36.92,46.5,34.03,49.3,32.29,53.1,37.84,50.5,35.03,53.6,35.67
Bournemouth,,,,,40.4,25.95,44.4,34.11,48.5,38.79,52.7,38.25
Brentford,,,44.8,30.79,43.8,29.5,45.2,33.58,47.9,35.24,42.8,24.75
Brighton,51.1,39.34,54.4,40.24,60.2,48.11,59.8,46.5,52.3,40.05,50.1,34.42
Burnley,42.1,26.37,40.2,25.21,,,47.4,30.58,,,39.3,22.92
Chelsea,60.9,47.03,61.8,51.47,58.7,45.5,58.6,42.11,57.1,41.47,58.9,40.5
Crystal Palace,40.6,29.29,51.1,31.95,46.3,32.58,42.3,30.55,42.8,30.0,42.8,31.33
Everton,46.4,30.97,40.0,28.58,42.8,27.42,40.8,29.45,40.9,26.92,44.0,30.92
Fulham,49.7,35.21,,,48.8,34.63,50.6,38.21,52.3,40.63,50.8,35.5
Ipswich Town,,,,,,,,,40.6,24.21,,
Leeds United,57.3,42.76,52.3,38.61,47.0,37.32,,,,,48.2,31.17
Leicester City,54.3,38.29,52.0,35.55,47.7,34.05,,,45.4,28.21,,
Liverpool,62.1,53.71,62.7,58.61,60.8,51.95,61.3,55.03,57.7,50.26,61.6,52.67
Luton Town,,,,,,,42.4,28.79,,,,
Manchester City,63.5,53.5,67.9,63.21,64.7,54.05,65.2,53.47,61.3,50.53,57.3,39.33
Manchester Utd,55.7,47.82,52.7,41.11,53.7,41.53,50.6,38.63,53.5,37.71,52.0,40.67
Newcastle Utd,38.8,23.37,40.4,23.97,52.3,42.08,52.2,40.66,51.3,41.66,49.7,44.33
Norwich City,,,42.9,26.79,,,,,,,,
Nott'ham Forest,,,,,37.6,22.29,40.6,29.55,41.2,29.39,50.3,41.75
Sheffield Utd,41.7,31.13,,,,,35.8,23.03,,,,
Southampton,52.0,31.32,47.7,34.58,44.5,29.26,,,48.5,29.42,,
Sunderland,,,,,,,,,,,43.3,29.17
Tottenham,51.6,34.63,51.8,38.16,50.0,37.79,61.6,55.18,54.7,41.63,52.8,34.0
Watford,,,40.7,27.82,,,,,,,,
West Brom,37.9,26.76,,,,,,,,,,
West Ham,43.2,33.26,47.9,37.82,42.1,33.32,41.1,31.37,48.4,31.95,44.2,29.17
Wolves,49.3,33.32,49.5,33.21,49.9,35.05,48.9,30.61,48.1,31.03,47.3,29.92
