Squad,Possession,Progressive_Passes_Received_Per90
vs Arsenal,46.2,30.66
vs Aston Villa,51.9,40.37
vs Brighton,48.7,33.95
vs Burnley,58.3,43.61
vs Chelsea,38.6,27.76
vs Crystal Palace,59.9,47.32
vs Everton,53.5,43.45
vs Fulham,50.1,34.66
vs Leeds United,42.4,31.26
vs Leicester City,45.4,32.55
vs Liverpool,37.6,25.05
vs Manchester City,36.1,22.11
vs Manchester Utd,44.2,32.11
vs Newcastle Utd,61.8,46.21
vs Sheffield Utd,58.5,42.03
vs Southampton,47.8,36.55
vs Tottenham,48.3,39.45
vs West Brom,62.4,46.79
vs West Ham,57.1,44.18
vs Wolves,50.7,40.95
