Team,Shot_Creating_Actions_Per90,Goal_Creating_Actions_Per90
vs Arsenal,13.97,1.16
vs Aston Villa,21.58,2.68
vs Bournemouth,24.58,2.95
vs Brentford,25.79,3.13
vs Brighton,21.42,2.5
vs Burnley,28.82,3.37
vs Chelsea,25.45,2.5
vs Crystal Palace,21.89,2.74
vs Everton,25.03,2.13
vs Fulham,24.11,2.61
vs Liverpool,18.95,1.61
vs Luton Town,30.16,3.5
vs Manchester City,13.03,1.47
vs Manchester Utd,31.03,2.61
vs Newcastle Utd,24.53,2.87
vs Nott'ham Forest,23.61,2.97
vs Sheffield Utd,31.84,4.61
vs Tottenham,21.97,2.71
vs West Ham,31.37,3.32
vs Wolves,26.55,2.97
