Squad,Shots_Per_90,Shots_On_Target_Per_90
vs Arsenal,8.42,2.11
vs Aston Villa,11.92,4.5
vs Bournemouth,13.87,4.92
vs Brentford,14.37,4.79
vs Brighton,12.16,4.18
vs Burnley,16.0,6.24
vs Chelsea,14.5,4.79
vs Crystal Palace,12.03,3.97
vs Everton,13.95,4.13
vs Fulham,13.55,4.79
vs Liverpool,10.87,3.84
vs Luton Town,17.26,5.76
vs Manchester City,7.66,2.79
vs Manchester Utd,17.37,5.16
vs Newcastle Utd,13.92,5.0
vs Nott'ham Forest,13.29,4.18
vs Sheffield Utd,17.66,6.79
vs Tottenham,12.58,4.21
vs West Ham,16.89,6.08
vs Wolves,14.95,5.13
