Team,Shot_Creating_Actions_Per90,Goal_Creating_Actions_Per90
Arsenal,25.5,3.13
Aston Villa,22.34,2.68
Bournemouth,26.63,2.45
Brentford,20.53,2.97
Brighton,24.55,2.97
Chelsea,27.92,2.87
Crystal Palace,23.08,2.34
Everton,18.76,1.79
Fulham,24.74,2.61
Ipswich Town,17.32,1.53
Leicester City,15.39,1.47
Liverpool,30.29,3.87
Manchester City,28.84,3.29
Manchester Utd,24.71,1.84
Newcastle Utd,24.68,3.03
Nott'ham Forest,21.0,2.39
Southampton,16.21,1.11
Tottenham,23.03,2.79
West Ham,21.45,1.76
Wolves,19.89,2.53
