Team,Shot_Creating_Actions,Shot_Creating_Actions_Per90,SCA_Passes_LiveBall,SCA_Passes_DeadBall,SCA_TakeOns,SCA_Shots,SCA_Fouls_Drawn,SCA_Defensive_Actions,Goal_Creating_Actions,Goal_Creating_Actions_Per90,GCA_Passes_LiveBall,GCA_Passes_DeadBall,GCA_TakeOns,GCA_Shots,GCA_Fouls_Drawn,GCA_Defensive_Actions
Arsenal,273,24.82,195,21,14,28,14,1,37,3.36,23,3,3,4,3,1
Aston Villa,208,18.91,157,20,4,13,9,5,23,2.09,16,2,2,1,2,0
Bournemouth,234,21.27,169,14,17,10,13,11,31,2.82,23,2,3,0,2,1
Brentford,192,17.45,133,28,10,9,9,3,26,2.36,17,4,2,1,2,0
Brighton,227,20.64,162,16,18,12,11,8,28,2.55,18,1,3,4,2,0
Burnley,157,14.27,112,14,4,11,12,4,24,2.18,18,1,1,4,0,0
Chelsea,276,25.09,211,15,13,21,9,7,39,3.55,28,4,2,3,1,1
Crystal Palace,230,20.91,155,29,10,22,9,5,24,2.18,16,2,0,3,2,1
Everton,221,20.09,159,21,13,12,14,2,21,1.91,16,1,1,2,1,0
Fulham,208,18.91,154,19,9,18,6,2,13,1.18,8,1,0,4,0,0
Leeds United,214,19.45,141,20,10,24,7,12,15,1.36,6,2,0,5,1,1
Liverpool,288,26.18,229,16,14,19,7,3,31,2.82,26,0,1,2,1,1
Manchester City,272,24.73,206,16,25,18,6,1,39,3.55,35,0,4,0,0,0
Manchester Utd,278,25.27,201,23,11,25,11,7,30,2.73,20,3,1,4,1,1
Newcastle Utd,237,21.55,174,22,14,13,8,6,18,1.64,11,0,2,1,3,1
Nott'ham Forest,237,21.55,181,17,13,18,3,5,19,1.73,14,0,3,1,1,0
Sunderland,193,17.55,136,23,11,14,6,3,23,2.09,16,2,0,3,2,0
Tottenham,185,16.82,136,17,12,9,8,3,32,2.91,23,3,3,2,0,1
West Ham,196,17.82,134,23,13,17,7,2,17,1.55,11,1,0,4,1,0
Wolves,192,17.45,146,16,9,4,12,5,11,1.0,9,0,0,1,1,0
