Team,Tackles_Total,Tackles_Won,Tackles_Defensive_Third,Tackles_Middle_Third,Tackles_Attacking_Third,Challenges_Tackles,Challenges_Attempted,Challenges_Tackle_Percentage,Challenges_Lost,Blocks_Total,Blocks_Shots,Blocks_Passes,Interceptions,Tackles_Plus_Interceptions,Clearances,Errors_Leading_To_Shots
vs Arsenal,171,103,100,57,14,87,172,50.6,85,116,48,68,85,256,395,11
vs Aston Villa,217,126,97,90,30,100,163,61.3,63,108,37,71,102,319,313,8
vs Bournemouth,202,130,90,87,25,106,195,54.4,89,137,37,100,77,279,340,9
vs Brentford,178,108,86,63,29,98,169,58.0,71,77,28,49,74,252,366,7
vs Brighton,207,120,102,78,27,91,183,49.7,92,108,29,79,91,298,248,13
vs Burnley,147,84,67,54,26,64,107,59.8,43,114,25,89,74,221,262,3
vs Chelsea,204,122,97,82,25,103,193,53.4,90,114,49,65,90,294,300,14
vs Crystal Palace,146,84,50,69,27,55,99,55.6,44,113,35,78,91,237,322,8
vs Everton,202,110,110,66,26,106,184,57.6,78,114,39,75,89,291,341,6
vs Fulham,161,93,70,69,22,82,153,53.6,71,139,38,101,81,242,285,9
vs Leeds United,205,121,103,71,31,104,171,60.8,67,127,36,91,67,272,264,8
vs Liverpool,183,112,96,66,21,91,167,54.5,76,118,50,68,112,295,338,12
vs Manchester City,212,132,103,77,32,105,224,46.9,119,152,43,109,88,300,222,9
vs Manchester Utd,186,113,82,78,26,89,153,58.2,64,125,37,88,91,277,288,7
vs Newcastle Utd,177,107,86,75,16,86,156,55.1,70,116,39,77,105,282,327,6
vs Nott'ham Forest,157,99,69,57,31,83,157,52.9,74,111,39,72,94,251,291,6
vs Sunderland,146,87,66,60,20,65,127,51.2,62,116,35,81,57,203,311,3
vs Tottenham,226,121,110,85,31,118,226,52.2,108,100,20,80,79,305,332,9
vs West Ham,180,116,73,79,28,95,163,58.3,68,111,33,78,79,259,296,6
vs Wolves,160,98,64,68,28,69,133,51.9,64,94,23,71,84,244,318,9
