Home,xG,Score,xG.1,Away
Liverpool,2.2,4–2,1.7,Bournemouth
Aston Villa,0.2,0–0,1.4,Newcastle Utd
Sunderland,0.7,3–0,0.6,West Ham
Brighton,1.5,1–1,0.7,Fulham
Tottenham,2.3,3–0,0.9,Burnley
Wolves,0.6,0–4,2.4,Manchester City
Chelsea,1.6,0–0,0.6,Crystal Palace
Nott'ham Forest,1.8,3–1,1.4,Brentford
Manchester Utd,1.5,0–1,1.3,Arsenal
Leeds United,2.0,1–0,0.8,Everton
West Ham,0.7,1–5,2.7,Chelsea
Manchester City,1.6,0–2,1.1,Tottenham
Bournemouth,1.3,1–0,0.5,Wolves
Brentford,1.2,1–0,1.2,Aston Villa
Burnley,1.0,2–0,0.8,Sunderland
Arsenal,2.7,5–0,0.2,Leeds United
Crystal Palace,1.1,1–1,0.9,Nott'ham Forest
Everton,1.6,2–0,2.4,Brighton
Fulham,1.7,1–1,1.6,Manchester Utd
Newcastle Utd,1.0,2–3,0.7,Liverpool
Chelsea,2.1,2–0,0.9,Fulham
Wolves,1.1,2–3,1.9,Everton
Manchester Utd,3.6,3–2,1.2,Burnley
Sunderland,1.5,2–1,1.2,Brentford
Tottenham,0.2,0–1,1.5,Bournemouth
Leeds United,0.7,0–0,0.5,Newcastle Utd
Nott'ham Forest,0.7,0–3,2.4,West Ham
Brighton,2.2,2–1,1.8,Manchester City
Liverpool,0.5,1–0,0.5,Arsenal
Aston Villa,1.1,0–3,2.6,Crystal Palace
Arsenal,1.8,3–0,0.2,Nott'ham Forest
Newcastle Utd,1.5,1–0,0.5,Wolves
Fulham,0.9,1–0,0.8,Leeds United
Crystal Palace,1.8,0–0,0.4,Sunderland
Everton,2.0,0–0,0.4,Aston Villa
Bournemouth,1.4,2–1,0.6,Brighton
West Ham,0.6,0–3,1.3,Tottenham
Brentford,1.4,2–2,1.3,Chelsea
Burnley,0.1,0–1,2.6,Liverpool
Manchester City,2.7,3–0,1.2,Manchester Utd
Liverpool,0.9,2–1,0.7,Everton
Wolves,1.8,1–3,0.5,Leeds United
Brighton,1.3,2–2,1.2,Tottenham
Burnley,0.9,1–1,1.1,Nott'ham Forest
West Ham,0.6,1–2,2.1,Crystal Palace
Manchester Utd,1.8,2–1,0.4,Chelsea
Fulham,1.0,3–1,0.6,Brentford
Bournemouth,0.5,0–0,0.2,Newcastle Utd
Sunderland,1.0,1–1,0.8,Aston Villa
Arsenal,0.9,1–1,0.9,Manchester City
Brentford,1.9,3–1,2.1,Manchester Utd
Crystal Palace,2.9,2–1,2.1,Liverpool
Manchester City,2.0,5–1,0.4,Burnley
Chelsea,1.8,1–3,2.3,Brighton
Leeds United,1.8,2–2,0.7,Bournemouth
Nott'ham Forest,1.6,0–1,1.6,Sunderland
Tottenham,0.8,1–1,1.1,Wolves
Aston Villa,1.1,3–1,1.1,Fulham
Newcastle Utd,0.6,1–2,2.0,Arsenal
Everton,0.7,1–1,1.2,West Ham
Bournemouth,1.2,3–1,0.9,Fulham
Leeds United,1.7,1–2,0.6,Tottenham
Arsenal,2.8,2–0,0.4,West Ham
Manchester Utd,1.8,2–0,0.7,Sunderland
Chelsea,1.0,2–1,1.9,Liverpool
Wolves,0.6,1–1,0.9,Brighton
Everton,2.0,2–1,1.5,Crystal Palace
Aston Villa,1.1,2–1,0.4,Burnley
Newcastle Utd,3.2,2–0,0.2,Nott'ham Forest
Brentford,0.7,0–1,0.8,Manchester City
Nott'ham Forest,2.2,0–3,1.7,Chelsea
Sunderland,0.6,2–0,0.8,Wolves
Burnley,0.5,2–0,2.4,Leeds United
Brighton,0.9,2–1,1.4,Newcastle Utd
Crystal Palace,4.4,3–3,2.0,Bournemouth
Manchester City,2.3,2–0,1.1,Everton
Fulham,0.4,0–1,1.8,Arsenal
Tottenham,0.9,1–2,0.3,Aston Villa
Liverpool,2.6,1–2,1.3,Manchester Utd
West Ham,0.4,0–2,2.3,Brentford
Leeds United,1.5,2–1,0.6,West Ham
Newcastle Utd,2.1,2–1,1.3,Fulham
Chelsea,0.9,1–2,1.2,Sunderland
Manchester Utd,1.3,4–2,1.1,Brighton
Brentford,2.7,3–2,2.2,Liverpool
Arsenal,0.9,1–0,0.5,Crystal Palace
Aston Villa,0.8,1–0,1.2,Manchester City
Wolves,2.3,2–3,1.4,Burnley
Bournemouth,0.6,2–0,0.4,Nott'ham Forest
Everton,1.7,0–3,1.7,Tottenham
Crystal Palace,0.7,2–0,0.5,Brentford
Nott'ham Forest,1.9,2–2,1.2,Manchester Utd
Fulham,1.3,3–0,0.2,Wolves
Burnley,0.4,0–2,2.3,Arsenal
Brighton,3.0,3–0,0.5,Leeds United
Tottenham,0.1,0–1,3.7,Chelsea
Liverpool,1.2,2–0,0.4,Aston Villa
West Ham,1.7,3–1,0.5,Newcastle Utd
Manchester City,2.2,3–1,0.6,Bournemouth
Sunderland,1.2,1–1,0.9,Everton
Tottenham,0.9,2–2,0.8,Manchester Utd
West Ham,3.0,3–2,1.0,Burnley
Everton,1.4,2–0,0.4,Fulham
Sunderland,0.4,2–2,1.9,Arsenal
Chelsea,3.3,3–0,0.2,Wolves
Aston Villa,1.7,4–0,1.6,Bournemouth
Nott'ham Forest,2.5,3–1,0.7,Leeds United
Crystal Palace,0.7,0–0,0.4,Brighton
Brentford,2.3,3–1,0.4,Newcastle Utd
Manchester City,1.5,3–0,0.7,Liverpool
