Team,Passes_Attempted,Passes_LiveBall,Passes_DeadBall,Passes_FromFreeKicks,Passes_ThroughBalls,Passes_Switches,Passes_Crosses,Passes_ThrowIns,Passes_CornerKicks,Passes_IntoFinalThird,Passes_FromBack,Passes_Straight,Passes_Completed,Passes_Offside,Passes_Blocked
vs Arsenal,4224,3725,490,125,20,32,122,211,34,18,12,2,3252,9,84
vs Aston Villa,4522,4039,449,114,25,33,194,177,59,45,7,1,3628,34,97
vs Bournemouth,4981,4424,544,166,15,18,184,221,50,30,14,0,3843,13,113
vs Brentford,5786,5274,498,138,20,31,195,212,47,25,10,1,4708,14,96
vs Brighton,5335,4788,534,154,17,17,174,206,44,34,4,1,4302,13,103
vs Burnley,6639,6145,479,121,21,27,308,204,72,40,17,2,5558,15,120
vs Chelsea,4385,3847,522,139,21,18,167,222,45,25,9,0,3439,16,74
vs Crystal Palace,5989,5464,510,125,25,30,235,213,65,42,16,0,4885,15,101
vs Everton,5764,5230,514,124,23,24,175,234,56,37,13,0,4721,20,84
vs Fulham,5212,4672,517,164,24,33,188,193,57,41,5,2,4233,23,84
vs Leeds United,5582,5053,515,113,8,23,205,260,36,25,9,0,4542,14,85
vs Liverpool,4074,3534,526,125,18,15,174,199,56,35,9,2,2967,14,93
vs Manchester City,4890,4422,441,109,31,51,175,172,48,41,3,2,3944,27,70
vs Manchester Utd,5166,4638,508,117,21,29,223,215,56,32,17,0,4038,20,98
vs Newcastle Utd,5020,4496,506,129,18,23,178,208,55,37,8,1,3871,18,85
vs Nott'ham Forest,5029,4547,469,127,18,25,188,174,53,31,12,0,3999,13,93
vs Sunderland,5897,5403,482,115,16,16,243,218,48,33,6,0,4832,12,90
vs Tottenham,4605,4051,539,146,20,21,178,209,60,39,11,1,3600,15,100
vs West Ham,5714,5206,495,129,19,25,236,199,74,50,13,1,4678,13,87
vs Wolves,5549,4982,549,154,27,31,217,232,67,48,6,1,4496,18,92
