Team,Passes_Attempted,Passes_LiveBall,Passes_DeadBall,Passes_FromFreeKicks,Passes_ThroughBalls,Passes_Switches,Passes_Crosses,Passes_ThrowIns,Passes_CornerKicks,Passes_IntoFinalThird,Passes_FromBack,Passes_Straight,Passes_Completed,Passes_Offside,Passes_Blocked
Arsenal,5971,5492,465,120,40,20,215,202,75,58,7,0,4962,14,82
Aston Villa,5223,4676,533,184,30,18,188,174,59,36,6,0,4295,14,93
Bournemouth,5131,4606,499,112,22,21,207,214,63,51,3,0,4008,26,111
Brentford,4362,3857,487,109,10,12,186,215,59,29,18,3,3271,18,60
Brighton,5133,4628,481,121,12,35,170,190,56,40,4,1,4169,24,85
Burnley,4218,3729,470,116,14,47,124,172,30,23,1,1,3179,19,103
Chelsea,6331,5799,511,148,25,24,200,192,71,44,3,0,5357,21,78
Crystal Palace,4342,3837,489,128,27,22,157,200,42,33,6,0,3257,16,87
Everton,4676,4142,520,147,27,26,193,227,45,35,3,1,3601,14,88
Fulham,5284,4726,539,141,16,44,210,228,56,35,13,1,4248,19,109
Leeds United,5179,4674,494,136,10,16,195,189,47,24,19,2,4152,11,102
Liverpool,6217,5670,523,129,36,16,224,227,57,28,22,0,5156,24,79
Manchester City,6399,5878,511,148,33,27,148,222,62,30,24,1,5518,10,118
Manchester Utd,5241,4712,511,142,35,40,171,213,42,33,1,3,4116,18,94
Newcastle Utd,5323,4787,530,143,16,29,240,238,60,26,25,2,4195,6,94
Nott'ham Forest,5626,5102,511,135,12,22,271,211,56,31,18,0,4541,13,96
Sunderland,4579,4095,469,128,12,20,180,191,36,30,0,2,3522,15,89
Tottenham,5318,4778,517,113,4,27,245,220,67,59,3,0,4273,23,93
West Ham,4834,4286,530,119,17,29,202,223,63,33,22,0,3821,18,97
Wolves,4976,4466,497,115,9,27,233,231,36,30,3,0,3895,13,91
