Squad,Shots_Per_90,Shots_On_Target_Per_90
vs Arsenal,11.03,3.74
vs Aston Villa,12.39,3.79
vs Brentford,13.11,4.58
vs Brighton,12.42,3.76
vs Burnley,15.74,4.55
vs Chelsea,8.82,2.87
vs Crystal Palace,11.55,3.68
vs Everton,13.68,4.89
vs Leeds United,15.16,5.76
vs Leicester City,14.63,4.82
vs Liverpool,7.82,2.82
vs Manchester City,6.21,2.21
vs Manchester Utd,13.32,4.61
vs Newcastle Utd,13.79,4.18
vs Norwich City,16.29,5.58
vs Southampton,12.97,4.76
vs Tottenham,12.89,3.55
vs Watford,14.58,4.76
vs West Ham,14.26,4.21
vs Wolves,13.13,4.16
